4K频道,#genre#
永州经济生活[1920*1080],http://61.150.160.70:6610/000000002000/201500000492/index.m3u8?zte_offset=30&ispcode=2&starttime=
洞口融媒综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000003/index.m3u8?zte_offset=30&ispcode=2&starttime=
洞口融媒综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000568/index.m3u8?zte_offset=30&ispcode=2&starttime=
津市综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000558/index.m3u8?zte_offset=30&ispcode=2&starttime=
湘乡新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000573/index.m3u8?zte_offset=30&ispcode=2&starttime=
湘潭县综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000588/index.m3u8?zte_offset=30&ispcode=2&starttime=
湘潭新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000308/index.m3u8?zte_offset=30&ispcode=2&starttime=
湘西文化旅游[1920*1080],http://61.150.160.70:6610/000000002000/201500000556/index.m3u8?zte_offset=30&ispcode=2&starttime=
湘西新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000555/index.m3u8?zte_offset=30&ispcode=2&starttime=
溆浦综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000530/index.m3u8?zte_offset=30&ispcode=2&starttime=
益阳公共[720*576],http://61.150.160.70:6610/000000002000/201500000413/index.m3u8?zte_offset=30&ispcode=2&starttime=
益阳新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000412/index.m3u8?zte_offset=30&ispcode=2&starttime=
茶陵综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000547/index.m3u8?zte_offset=30&ispcode=2&starttime=
蓝山综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000574/index.m3u8?zte_offset=30&ispcode=2&starttime=
衡阳县电视台[1920*1080],http://61.150.160.70:6610/000000002000/201500000531/index.m3u8?zte_offset=30&ispcode=2&starttime=
衡阳文旅法治[1920*1080],http://61.150.160.70:6610/000000002000/201500000416/index.m3u8?zte_offset=30&ispcode=2&starttime=
衡阳新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000415/index.m3u8?zte_offset=30&ispcode=2&starttime=
道县综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000553/index.m3u8?zte_offset=30&ispcode=2&starttime=
邵阳文旅民生[1920*1080],http://61.150.160.70:6610/000000002000/201500000453/index.m3u8?zte_offset=30&ispcode=2&starttime=
邵阳新闻综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000452/index.m3u8?zte_offset=30&ispcode=2&starttime=
郴州文旅[1920*1080],http://61.150.160.70:6610/000000002000/201500000576/index.m3u8?zte_offset=30&ispcode=2&starttime=
郴州综合[1920*1080],http://61.150.160.70:6610/000000002000/201500000397/index.m3u8?zte_offset=30&ispcode=2&starttime=

央视,#genre#
CCTV1[1920*1080],http://61.150.160.70:6610/000000002000/201500000063/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV1[1920*1080],http://61.150.160.70:6610/000000002000/201500000334/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV2[1920*1080],http://61.150.160.70:6610/000000002000/201500000129/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV3[1920*1080],http://61.150.160.70:6610/000000002000/201500000124/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV4[1920*1080],http://61.150.160.70:6610/000000002000/201500000204/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV4欧洲[1920*1080],http://61.150.160.70:6610/000000002000/201500000495/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV4美洲[1920*1080],http://61.150.160.70:6610/000000002000/201500000496/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV5+[1920*1080],http://61.150.160.70:6610/000000002000/201500000062/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV5+[1920*1080],http://61.150.160.70:6610/000000002000/201500000549/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV5[1920*1080],http://61.150.160.70:6610/000000002000/201500000125/index.m3u8?zte_offset=30&ispcode=2&starttime=
CCTV5[1920*1080],http://61.150.160.70:6610/000000002000/201500000548/index.m3u8?zte_offset=30&ispcode=2&starttime=
