4K频道,#genre#
怀旧剧场,http://192.168.0.1:4022/rtp/239.76.254.53:9000?fcc=124.232.149.47:15970
高尔夫网球,http://192.168.0.1:4022/rtp/239.76.254.62:9000?fcc=124.232.149.47:15970
卫生健康,http://192.168.0.1:4022/rtp/239.76.253.247:9000?fcc=124.232.149.47:15970
电视指南,http://192.168.0.1:4022/rtp/239.76.254.61:9000?fcc=124.232.149.47:15970
中学生,http://192.168.0.1:4022/rtp/239.76.254.27:9000?fcc=124.232.149.47:15970
老故事,http://192.168.0.1:4022/rtp/239.76.253.76:9000?fcc=124.232.149.47:15970

CETV1,http://192.168.0.1:4022/rtp/239.76.252.192:9000?fcc=124.232.149.47:15970
CETV2,http://192.168.0.1:4022/rtp/239.76.252.253:9000?fcc=124.232.149.47:15970
CETV4,http://192.168.0.1:4022/rtp/239.76.252.254:9000?fcc=124.232.149.47:15970
CETV早期教育,http://192.168.0.1:4022/rtp/239.76.254.202:9000?fcc=124.232.149.47:15970
CGTN,http://192.168.0.1:4022/rtp/239.76.252.66:9000?fcc=124.232.149.47:15970
CGTN纪录,http://192.168.0.1:4022/rtp/239.76.252.67:9000?fcc=124.232.149.47:15970
CGTN阿语,http://192.168.0.1:4022/rtp/239.76.253.97:9000?fcc=124.232.149.47:15970
CGTN西语,http://192.168.0.1:4022/rtp/239.76.253.88:9000?fcc=124.232.149.47:15970
CGTN法语,http://192.168.0.1:4022/rtp/239.76.253.87:9000?fcc=124.232.149.47:15970
CGTN俄语,http://192.168.0.1:4022/rtp/239.76.253.86:9000?fcc=124.232.149.47:15970

卫视频道,#genre#
湖南卫视,http://192.168.0.1:4022/rtp/239.76.253.100:9000?fcc=124.232.149.47:15970
湖南卫视,http://192.168.0.1:4022/rtp/239.76.252.115:9000?fcc=124.232.149.47:15970
湖南卫视,http://192.168.0.1:4022/rtp/239.76.253.101:9000?fcc=124.232.149.47:15970
凤凰中文,http://192.168.0.1:4022/rtp/239.76.253.135:9000?fcc=124.232.149.47:15970
凤凰资讯,http://192.168.0.1:4022/rtp/239.76.253.134:9000?fcc=124.232.149.47:15970
江苏卫视,http://192.168.0.1:4022/rtp/239.76.253.181:9000?fcc=124.232.149.47:15970
浙江卫视,http://192.168.0.1:4022/rtp/239.76.253.182:9000?fcc=124.232.149.47:15970
东方卫视,http://192.168.0.1:4022/rtp/239.76.253.186:9000?fcc=124.232.149.47:15970
北京卫视,http://192.168.0.1:4022/rtp/239.76.253.184:9000?fcc=124.232.149.47:15970
天津卫视,http://192.168.0.1:4022/rtp/239.76.253.185:9000?fcc=124.232.149.47:15970
东南卫视,http://192.168.0.1:4022/rtp/239.76.252.190:9000?fcc=124.232.149.47:15970
安徽卫视,http://192.168.0.1:4022/rtp/239.76.252.196:9000?fcc=124.232.149.47:15970
广东卫视,http://192.168.0.1:4022/rtp/239.76.252.189:9000?fcc=124.232.149.47:15970
河南卫视,http://192.168.0.1:4022/rtp/239.76.253.202:9000?fcc=124.232.149.47:15970
深圳卫视,http://192.168.0.1:4022/rtp/239.76.253.188:9000?fcc=124.232.149.47:15970
湖北卫视,http://192.168.0.1:4022/rtp/239.76.253.193:9000?fcc=124.232.149.47:15970
山东卫视,http://192.168.0.1:4022/rtp/239.76.253.195:9000?fcc=124.232.149.47:15970
黑龙江卫视,http://192.168.0.1:4022/rtp/239.76.253.200:9000?fcc=124.232.149.47:15970
吉林卫视,http://192.168.0.1:4022/rtp/239.76.253.201:9000?fcc=124.232.149.47:15970
海南卫视,http://192.168.0.1:4022/rtp/239.76.253.203:9000?fcc=124.232.149.47:15970
四川卫视,http://192.168.0.1:4022/rtp/239.76.253.91:9000?fcc=124.232.149.47:15970
重庆卫视,http://192.168.0.1:4022/rtp/239.76.253.92:9000?fcc=124.232.149.47:15970
广西卫视,http://192.168.0.1:4022/rtp/239.76.254.54:9000?fcc=124.232.149.47:15970
陕西卫视,http://192.168.0.1:4022/rtp/239.76.254.76:9000?fcc=124.232.149.47:15970
云南卫视,http://192.168.0.1:4022/rtp/239.76.254.60:9000?fcc=124.232.149.47:15970
青海卫视,http://192.168.0.1:4022/rtp/239.76.254.132:9000?fcc=124.232.149.47:15970
甘肃卫视,http://192.168.0.1:4022/rtp/239.76.253.94:9000?fcc=124.232.149.47:15970
三沙卫视,http://192.168.0.1:4022/rtp/239.76.253.74:9000?fcc=124.232.149.47:15970
辽宁卫视,http://192.168.0.1:4022/rtp/239.76.252.197:9000?fcc=124.232.149.47:15970
河北卫视,http://192.168.0.1:4022/rtp/239.76.252.199:9000?fcc=124.232.149.47:15970
贵州卫视,http://192.168.0.1:4022/rtp/239.76.252.198:9000?fcc=124.232.149.47:15970
大湾区卫视,http://192.168.0.1:4022/rtp/239.76.252.114:9000?fcc=124.232.149.47:15970
厦门卫视,http://192.168.0.1:4022/rtp/239.76.252.231:9000?fcc=124.232.149.47:15970
兵团卫视,http://192.168.0.1:4022/rtp/239.76.252.232:9000?fcc=124.232.149.47:15970
延边卫视,http://192.168.0.1:4022/rtp/239.76.254.112:9000?fcc=124.232.149.47:15970
山西卫视,http://192.168.0.1:4022/rtp/239.76.252.105:9000?fcc=124.232.149.47:15970
内蒙古卫视,http://192.168.0.1:4022/rtp/239.76.252.106:9000?fcc=124.232.149.47:15970
宁夏卫视,http://192.168.0.1:4022/rtp/239.76.252.107:9000?fcc=124.232.149.47:15970
新疆卫视,http://192.168.0.1:4022/rtp/239.76.252.109:9000?fcc=124.232.149.47:15970
西藏卫视,http://192.168.0.1:4022/rtp/239.76.254.108:9000?fcc=124.232.149.47:15970
