4K频道,#genre#
CCTV4美洲[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000496
CCTV5+[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000062
CCTV5+[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000549
CCTV5[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000125
CCTV5[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000548
CCTV6[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000126
CCTV7[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000130
CCTV8[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000127
CCTV9[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000131
CCTV10[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000132
CCTV11[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000389
CCTV12[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000133
CCTV13[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000460
CCTV13[768*576],http://192.168.0.1/iptv/hndx.php?id=201500000016
CCTV14[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000134
CCTV15[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000390
CCTV16[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000501
CCTV17[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000382
CCTV17[768*576],http://192.168.0.1/iptv/hndx.php?id=201500000381
CETV1[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000342
CETV2[785*576],http://192.168.0.1/iptv/hndx.php?id=201500000391
CETV4[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000392
CETV早期教育[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000563
CGTN[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000019
CGTN阿语[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000497
CGTN法语[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000409
CGTN纪录[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000011
CGTN西语[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000410
CGTN俄语[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000408
世界地理[1920*1080],http://192.168.0.1/iptv/hndx.php?id=201500000524
中学生[1024*576],http://192.168.0.1/iptv/hndx.php?id=201500000561
