央视,#genre#
深圳卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1&IASHttpSessionId=OTT
兵团卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227168/index.m3u8?servicetype=1&IASHttpSessionId=OTT
三沙卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227172/index.m3u8?servicetype=1&IASHttpSessionId=OTT
康巴卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221225856/index.m3u8?servicetype=1&IASHttpSessionId=OTT
延边卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227330/index.m3u8?servicetype=1&IASHttpSessionId=OTT
大湾区卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227214/index.m3u8?servicetype=1&IASHttpSessionId=OTT
东南卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1&IASHttpSessionId=OTT
海峡卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1&IASHttpSessionId=OTT
厦门卫视,http://fjyd.130519.xyz/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建,#genre#
福建综合,http://fjyd.130519.xyz/PLTV/88888888/224/3221227149/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建新闻,http://fjyd.130519.xyz/PLTV/88888888/224/3221227180/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建电视剧,http://fjyd.130519.xyz/PLTV/88888888/224/3221227079/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建乡村,http://fjyd.130519.xyz/PLTV/88888888/224/3221227153/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建经济,http://fjyd.130519.xyz/PLTV/88888888/224/3221227184/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建体育,http://fjyd.130519.xyz/PLTV/88888888/224/3221227188/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建旅游,http://fjyd.130519.xyz/PLTV/88888888/224/3221227190/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建少儿,http://fjyd.130519.xyz/PLTV/88888888/224/3221227194/index.m3u8?servicetype=1&IASHttpSessionId=OTT
数字,#genre#
福建教育,http://fjyd.130519.xyz/PLTV/88888888/224/3221227202/index.m3u8?servicetype=1&IASHttpSessionId=OTT
北京科教,http://fjyd.130519.xyz/PLTV/88888888/224/3221225944/index.m3u8?servicetype=1&IASHttpSessionId=OTT
先锋乒羽,http://fjyd.130519.xyz/PLTV/88888888/224/3221226851/index.m3u8?servicetype=1&IASHttpSessionId=OTT
快乐垂钓,http://fjyd.130519.xyz/PLTV/88888888/224/3221226940/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山东教育,http://fjyd.130519.xyz/PLTV/88888888/224/3221225873/index.m3u8?servicetype=1&IASHttpSessionId=OTT
茶,http://fjyd.130519.xyz/PLTV/88888888/224/3221226859/index.m3u8?servicetype=1&IASHttpSessionId=OTT
金鹰纪实,http://fjyd.130519.xyz/PLTV/88888888/224/3221226937/index.m3u8?servicetype=1&IASHttpSessionId=OTT
金鹰卡通,http://fjyd.130519.xyz/PLTV/88888888/224/3221227018/index.m3u8?servicetype=1&IASHttpSessionId=OTT
炫动卡通,http://fjyd.130519.xyz/PLTV/88888888/224/3221225872/index.m3u8?servicetype=1&IASHttpSessionId=OTT
卡酷少儿,http://fjyd.130519.xyz/PLTV/88888888/224/3221225871/index.m3u8?servicetype=1&IASHttpSessionId=OTT
嘉佳卡通,http://fjyd.130519.xyz/PLTV/88888888/224/3221227230/index.m3u8?servicetype=1&IASHttpSessionId=OTT
优漫卡通,http://fjyd.130519.xyz/PLTV/88888888/224/3221225874/index.m3u8?servicetype=1&IASHttpSessionId=OTT
其他,#genre#
厦门1套,http://fjyd.130519.xyz/PLTV/88888888/224/3221226814/index.m3u8?servicetype=1&IASHttpSessionId=OTT
厦门2套,http://fjyd.130519.xyz/PLTV/88888888/224/3221226777/index.m3u8?servicetype=1&IASHttpSessionId=OTT
厦门3套,http://fjyd.130519.xyz/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1&IASHttpSessionId=OTT
纯享4K,http://fjyd.130519.xyz/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NewTV,#genre#
黑莓电影,http://fjyd.130519.xyz/PLTV/88888888/224/3221225891/index.m3u8?servicetype=1&IASHttpSessionId=OTT
黑莓动画,http://fjyd.130519.xyz/PLTV/88888888/224/3221225878/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV精品大剧,http://fjyd.130519.xyz/PLTV/88888888/224/3221225889/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV古装剧场,http://fjyd.130519.xyz/PLTV/88888888/224/3221225880/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV军旅剧场,http://fjyd.130519.xyz/PLTV/88888888/224/3221225887/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV家庭剧场,http://fjyd.130519.xyz/PLTV/88888888/224/3221225882/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV热播精选,http://fjyd.130519.xyz/PLTV/88888888/224/3221225881/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV爱情喜剧,http://fjyd.130519.xyz/PLTV/88888888/224/3221225877/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV动作电影,http://fjyd.130519.xyz/PLTV/88888888/224/3221225879/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV惊悚悬疑,http://fjyd.130519.xyz/PLTV/88888888/224/3221225885/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV金牌综艺,http://fjyd.130519.xyz/PLTV/88888888/224/3221225884/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV精品体育,http://fjyd.130519.xyz/PLTV/88888888/224/3221225886/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NewTV精品萌宠,http://fjyd.130519.xyz/PLTV/88888888/224/3221227183/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV中国功夫,http://fjyd.130519.xyz/PLTV/88888888/224/3221225896/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV怡伴健康,http://fjyd.130519.xyz/PLTV/88888888/224/3221225883/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV潮妈辣婆,http://fjyd.130519.xyz/PLTV/88888888/224/3221226107/index.m3u8?servicetype=1&IASHttpSessionId=OTT
