央视频道,#genre#
嘉佳卡通,https://shyd.130519.xyz/cms001/ch00000090990000001227/index.m3u8?IAS
动漫秀场,https://shyd.130519.xyz/cms001/ch00000090990000001196/index.m3u8?IAS
哈哈炫动,https://shyd.130519.xyz/cms001/ch00000090990000001232/index.m3u8?IAS
游戏风云,https://shyd.130519.xyz/cms001/ch00000090990000001192/index.m3u8?IAS
家庭理财,https://shyd.130519.xyz/cms001/ch00000090990000001278/index.m3u8?IAS
财富天下,https://shyd.130519.xyz/cms001/ch00000090990000001219/index.m3u8?IAS
中国天气,https://shyd.130519.xyz/cms001/ch00000090990000001102/index.m3u8?IAS
上海频道,#genre#
上海新闻,https://shyd.130519.xyz/cms001/ch00000090990000001014/index.m3u8?IAS
上海都市,https://shyd.130519.xyz/cms001/ch00000090990000001015/index.m3u8?IAS
上海ICS,https://shyd.130519.xyz/cms001/ch00000090990000001128/index.m3u8?IAS
七彩戏剧,https://shyd.130519.xyz/cms001/ch00000090990000001308/index.m3u8?IAS
上海教育,https://shyd.130519.xyz/cms001/ch00000090990000001268/index.m3u8?IAS
五星体育,https://shyd.130519.xyz/cms001/ch00000090990000001018/index.m3u8?IAS
东方影视,https://shyd.130519.xyz/cms001/ch00000090990000001016/index.m3u8?IAS
东方财经,https://shyd.130519.xyz/cms001/ch00000090990000001318/index.m3u8?IAS
法治天地,https://shyd.130519.xyz/cms001/ch00000090990000001195/index.m3u8?IAS
第一财经,https://shyd.130519.xyz/cms001/ch00000090990000001017/index.m3u8?IAS
赛事直播,#genre#
Bestv赛事1,https://shyd.130519.xyz/cms001/ch00000090990000001151/index.m3u8?IAS
Bestv赛事2,https://shyd.130519.xyz/cms001/ch00000090990000001359/index.m3u8?IAS
Bestv赛事3,https://shyd.130519.xyz/cms001/ch00000090990000001388/index.m3u8?IAS
Bestv赛事4,https://shyd.130519.xyz/cms001/ch00000090990000001149/index.m3u8?IAS
Bestv赛事5,https://shyd.130519.xyz/cms001/ch00000090990000001153/index.m3u8?IAS
Bestv赛事6,https://shyd.130519.xyz/cms001/ch00000090990000001154/index.m3u8?IAS
购物频道,#genre#
东方购物1,https://shyd.130519.xyz/cms001/ch00000090990000001040/index.m3u8?IAS
东方购物2,https://shyd.130519.xyz/cms001/ch00000090990000001039/index.m3u8?IAS
央广购物,https://shyd.130519.xyz/cms001/ch00000090990000001420/index.m3u8?IAS
优购物,https://shyd.130519.xyz/cms001/ch00000090990000001440/index.m3u8?IAS
好享购物,https://shyd.130519.xyz/cms001/ch00000090990000001132/index.m3u8?IAS
聚鲨精选,https://shyd.130519.xyz/cms001/ch00000090990000001138/index.m3u8?IAS
家家购物,https://shyd.130519.xyz/cms001/ch00000090990000001163/index.m3u8?IAS
家有购物,https://shyd.130519.xyz/cms001/ch00000090990000001244/index.m3u8?IAS
快乐购,https://shyd.130519.xyz/cms001/ch00000090990000001368/index.m3u8?IAS
