4K,#genre#
CCTV9,http://zzzzz.484947.xyz/PLTV/3/224/3221227659/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV10,http://zzzzz.484947.xyz/PLTV/3/224/3221225550/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV10,http://zzzzz.484947.xyz/PLTV/3/224/3221227717/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV10,http://zzzzz.484947.xyz/PLTV/3/224/3221227620/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV11,http://zzzzz.484947.xyz/PLTV/3/224/3221227720/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV12,http://zzzzz.484947.xyz/PLTV/3/224/3221227637/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV12,http://zzzzz.484947.xyz/PLTV/3/224/3221227655/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV13,http://zzzzz.484947.xyz/PLTV/3/224/3221228224/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV13,http://zzzzz.484947.xyz/PLTV/3/224/3221228324/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV14,http://zzzzz.484947.xyz/PLTV/3/224/3221227656/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV14,http://zzzzz.484947.xyz/PLTV/3/224/3221227693/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV15,http://zzzzz.484947.xyz/PLTV/3/224/3221227723/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV16,http://zzzzz.484947.xyz/PLTV/3/224/3221228112/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV16-4K,http://zzzzz.484947.xyz/PLTV/3/224/3221228168/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV17,http://zzzzz.484947.xyz/PLTV/3/224/3221227592/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV17,http://zzzzz.484947.xyz/PLTV/3/224/3221227726/index.m3u8?servicetype=4&IASHttpSessionId=OTT
CCTV4K,http://zzzzz.484947.xyz/PLTV/4/224/3221228228/index.m3u8?servicetype=4&IASHttpSessionId=OTT?servicetype=1
CCTV4K,http://zzzzz.484947.xyz/PLTV/4/224/3221228472/index.m3u8?servicetype=4&IASHttpSessionId=OTT?servicetype=1
CCTV-8K,http://zzzzz.484947.xyz/PLTV/3/224/3221228165/index.m3u8?servicetype=4&IASHttpSessionId=OTT
卫视,#genre#
凤凰中文,http://zzzzz.484947.xyz/PLTV/3/224/3221228527/index.m3u8?servicetype=4&IASHttpSessionId=OTT
凤凰资讯,http://zzzzz.484947.xyz/PLTV/3/224/3221228524/index.m3u8?servicetype=4&IASHttpSessionId=OTT
凤凰香港,http://zzzzz.484947.xyz/PLTV/3/224/3221228530/index.m3u8?servicetype=4&IASHttpSessionId=OTT
湖南卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227735/index.m3u8?servicetype=4&IASHttpSessionId=OTT
湖南卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228413/index.m3u8?servicetype=4&IASHttpSessionId=OTT
北京卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227652/index.m3u8?servicetype=4&IASHttpSessionId=OTT
北京卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228410/index.m3u8?servicetype=4&IASHttpSessionId=OTT
东方卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227208/index.m3u8?servicetype=4&IASHttpSessionId=OTT
东方卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227732/index.m3u8?servicetype=4&IASHttpSessionId=OTT
东方卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228425/index.m3u8?servicetype=4&IASHttpSessionId=OTT
天津卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227741/index.m3u8?servicetype=4&IASHttpSessionId=OTT
天津卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228416/index.m3u8?servicetype=4&IASHttpSessionId=OTT
重庆卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227729/index.m3u8?servicetype=4&IASHttpSessionId=OTT
江苏卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228306/index.m3u8?servicetype=4&IASHttpSessionId=OTT
江苏卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227668/index.m3u8?servicetype=4&IASHttpSessionId=OTT
江苏卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227715/index.m3u8?servicetype=4&IASHttpSessionId=OTT
浙江卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228309/index.m3u8?servicetype=4&IASHttpSessionId=OTT
浙江卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227744/index.m3u8?servicetype=4&IASHttpSessionId=OTT
东南卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227670/index.m3u8?servicetype=4&IASHttpSessionId=OTT
江西卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227738/index.m3u8?servicetype=4&IASHttpSessionId=OTT
安徽卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227643/index.m3u8?servicetype=4&IASHttpSessionId=OTT
安徽卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227653/index.m3u8?servicetype=4&IASHttpSessionId=OTT
安徽卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228327/index.m3u8?servicetype=4&IASHttpSessionId=OTT
湖北卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227665/index.m3u8?servicetype=4&IASHttpSessionId=OTT
广东卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227673/index.m3u8?servicetype=4&IASHttpSessionId=OTT
广东卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228312/index.m3u8?servicetype=4&IASHttpSessionId=OTT
深圳卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227217/index.m3u8?servicetype=4&IASHttpSessionId=OTT
深圳卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227677/index.m3u8?servicetype=4&IASHttpSessionId=OTT
海南卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228139/index.m3u8?servicetype=4&IASHttpSessionId=OTT
山东卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227258/index.m3u8?servicetype=4&IASHttpSessionId=OTT
山东卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227671/index.m3u8?servicetype=4&IASHttpSessionId=OTT
山东卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228315/index.m3u8?servicetype=4&IASHttpSessionId=OTT
辽宁卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227676/index.m3u8?servicetype=4&IASHttpSessionId=OTT
辽宁卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221228310/index.m3u8?servicetype=4&IASHttpSessionId=OTT
黑龙江卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227638/index.m3u8?servicetype=4&IASHttpSessionId=OTT
黑龙江卫视,http://zzzzz.484947.xyz/PLTV/3/224/3221227662/index.m3u8?servicetype=4&IASHttpSessionId=OTT
