湖南移动内网源
整理自易视腾接口：http://hntvepg.taipan.jda.bcs.ottcn.com:8080/ysten-lvoms-epg/epg/getChannels.shtml?templateId=0731  （templateId为区号）

央视,#genre#
潇湘电影,http://tvgslb.hn.chinamobile.com:8089/000000001000/HD-8000k-1080P-xiaoxiangdy/index.m3u8?channel-id=ystenlive&Contentid=HD-8000k-1080P-xiaoxiangdy&livemode=1&AuthInfo=-&IASHttpSessionId=SLB000001
湖南电视剧,http://tvgslb.hn.chinamobile.com:8089/000000001000/HD-8000k-1080P-xiaoxiangdsj/index.m3u8?channel-id=ystenlive&Contentid=HD-8000k-1080P-xiaoxiangdsj&livemode=1&AuthInfo=-&IASHttpSessionId=SLB000001
湖南公共,http://tvgslb.hn.chinamobile.com:8089/000000001000/HD-8000k-1080P-hunangg/index.m3u8?channel-id=ystenlive&Contentid=HD-8000k-1080P-hunangg&livemode=1&AuthInfo=-&IASHttpSessionId=SLB000001

卫视,#genre#
湖南卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000009115/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1
湖南卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000009115/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1
浙江卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1
江苏卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000004684/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1
东方卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1
广东卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000028357/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028357&livemode=1
深圳卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000011645/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011645&livemode=1
天津卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000000831/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1
山东卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1
北京卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000017156/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1
黑龙江卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000009082/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009082&livemode=1
浙江卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1
江苏卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000004684/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1
东方卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1
广东卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000028357/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028357&livemode=1
深圳卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000011645/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011645&livemode=1
天津卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000000831/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1
山东卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1
北京卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000017156/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1
湖北卫视高清,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000010355/1.m3u8?channel-id=ystenlive&Contentid=1000000001000010355&livemode=1
重庆卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000018937/1.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1
辽宁卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000024033/1.m3u8?channel-id=ystenlive&Contentid=1000000002000024033&livemode=1
东南卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000009263/1.m3u8?channel-id=ystenlive&Contentid=1000000002000009263&livemode=1
江西卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000013731/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013731&livemode=1
四川卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000016825/1.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1
广西卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000019837/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019837&livemode=1
河南卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/7304224304099543804/1.m3u8?channel-id=ystenlive&Contentid=7304224304099543804&livemode=1
河北卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000017118/1.m3u8?channel-id=ystenlive&Contentid=1000000002000017118&livemode=1
山西卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000021220/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021220&livemode=1
贵州卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000002000003169/1.m3u8?channel-id=ystenlive&Contentid=1000000002000003169&livemode=1
湖北卫视,http://gslbserv.taipan.hna.bcs.ottcn.com:8089/000000001000/1000000001000010355/1.m3u8?channel-id=ystenlive&Contentid=1000000001000010355&livemode=1
